,BM,OU,EB,JN,NIG,VG,BMJN,BMNIG,BMVG
112-63-0,0,0,0,0.999999517,0,5.10E-175,4.83E-07,0,1.18E-91
112-72-1,0,0,0,1,0,3.98E-95,2.48E-11,0,0
112-88-9,0.000218537,0.999702059,7.94E-05,1.05E-58,0,1.36E-58,1.62E-73,0,6.35E-185
112-92-5,0,0,0,1,0,5.77E-165,0,0,3.09E-297
112-95-8,0,0,0,1,0,5.87E-91,1.30E-86,0,2.93E-237
1134-95-8,0,0,0,1,0,4.89E-132,6.97E-18,4.35E-152,1.59E-281
1135-66-6,0,0,0,1,0,1.33E-73,0,0,7.71507427358684e-310
1137-12-8,0,0,0,4.15E-60,1.36E-83,2.01E-171,1,1.67E-80,1.88E-30
1139-17-9,0,0,0,1,0,2.52E-172,9.42E-208,0,1.07E-87
1139-30-6,5.23E-108,8.99E-104,1.92E-108,9.54E-51,8.50E-109,1.59E-16,1.61E-51,7.05E-109,1
1143-46-0,0,0,0,1,0,1.57E-20,0,0,4.27E-184
115-31-1,0,0,0,1.36E-34,4.54E-219,0,1,1.7291049569919e-314,0
115-71-9,0,0,0,1,9.82E-18,2.06E-142,1.41E-12,2.05E-141,0
115728-41-1,0,0,0,9.92E-66,1.02E-58,3.33E-135,1,0,1.49E-98
115-95-7,0,0,0,1,0,1.17E-71,7.65E-78,0,4.31E-36
117066-77-0,0,0,0,1,0,3.63E-163,8.05E-33,0,9.21E-152
118014-38-3,0,0,0,1,0,1.10E-132,4.50E-56,0,2.47032822920623e-323
118-58-1,0,0,0,1,0,2.91E-135,3.65E-47,0,0
118-65-0,0,0,0,1,0,6.82E-124,2.03E-26,3.07E-229,2.00E-196
1187195-00-1,0,0,0,1,8.35E-52,3.79E-116,1.70E-79,0,1.23E-60
1189-09-9,0,0,0,1.55E-21,0,7.16E-78,1,0,2.78E-182
1192-62-7,0,0,0,1,0,9.06E-188,0,0,2.65465157487253e-314
119-36-8,0,0,0,1,0,2.18E-10,5.57E-39,0,1.59E-82
119-47-1,0,0,0,1,0,7.47E-105,0,0,2.55E-278
1195-32-0,0,0,0,1.57E-83,0,2.65E-81,1,0,9.06E-97
1195-79-5,0,0,0,2.46E-116,1.42E-97,5.63E-36,2.20E-13,3.45E-247,1
119-61-9,0,0,0,1,1.43E-127,1.99E-133,0,4.11E-227,0
119683-81-7,0,0,0,0.917047716,0,7.72E-90,0.082952284,0,3.51E-136
1197-01-9,0,0,0,1,0,9.90E-51,4.95E-57,0,1.59E-96
1197-06-4,0,0,0,1,0,2.24E-91,0,0,1.56E-152
1197-07-5,0,0,0,0.999999995,1.03E-214,1.39E-51,5.47E-09,3.28E-131,2.42E-224
