,BM,OU,EB,JN,NIG,VG,BMJN,BMNIG,BMVG
2153-66-4,0,0,0,4.37E-22,8.77E-152,0,1,0,1.60E-138
21657-90-9,0,0,0,1,1.04E-268,1.17E-152,2.37E-17,9.62E-146,6.31E-269
21662-09-9,0,0,0,1.03E-74,1,1.78E-141,4.94065645841247e-323,4.07E-179,1.52E-150
21698-41-9,0,0,0,9.65E-33,0,9.15E-118,1,0,2.83E-133
21747-46-6,0,0,0,0.011150563,0,1.58E-87,0.98884912,0,3.17E-07
217650-27-6,0,0,0,0.995033954,5.57E-62,8.94E-82,0.004966046,2.51E-229,6.90E-306
2185851-95-8,0,0,0,1,0,4.18E-171,9.23E-89,0,0
21964-44-3,0,0,0,2.86E-61,0,3.59E-138,1,0,1.75E-183
21966-93-8,0,0,0,0.999999951,4.89E-08,2.04E-269,1.10E-13,0,2.24E-192
220766-71-2,0,0,0,1,1.96E-92,7.11E-92,2.21E-89,3.91864980275569e-316,4.75E-143
2234-20-0,0,0,0,8.13E-08,0,7.62E-114,0.999999919,0,1.22E-190
22451-73-6,0,0,0,1.72E-46,1.34E-135,2.31E-74,1,2.28E-140,3.33E-44
22457-23-4,0,0,0,0,4.98E-34,9.65E-18,7.15E-103,0,1
22539-72-6,0,0,0,1,4.92E-99,1.58E-51,3.05E-29,1.16E-253,0
22567-17-5,0,0,0,1,0,3.44E-207,7.34E-198,0,0.00E+00
22567-36-8,0,0,0,2.83E-28,0,2.94E-159,1,0,1.82E-31
22580-90-1,1.20E-234,3.81E-260,3.70E-243,1,3.14E-110,5.53E-99,1.65E-230,5.31E-227,1.25E-66
22626-43-3,0,0,0,1,2.07E-52,4.63E-58,1.11E-29,4.56E-70,4.87E-77
22627-95-8,0,0,0,0.979728721,0.020271279,3.59E-71,1.86E-32,0,8.87E-253
2270-60-2,0,0,0,1,0,6.80E-70,2.61E-11,0,1.79E-86
22771-44-4,0,0,0,1.18E-33,1,7.41E-79,2.49E-40,2.42E-40,1.11E-61
23262-34-2,3.13E-132,1.39E-154,4.66E-171,0,4.29E-218,1,0,0,0
23445-02-5,0,0,0,0.000200808,1.91E-126,2.59E-110,0.999799192,2.97E-239,1.15E-93
2345-28-0,0,0,0,2.15E-18,1.55E-130,9.65E-65,1,6.19E-119,0
2359-73-1,0,0,0,1,7.38E-98,2.48E-66,3.06E-16,0,2.38E-43
2363-88-4,8.06E-31,5.74E-29,2.98E-31,3.91E-60,1,2.35E-154,0,0,1.58E-244
23726-93-4,0,0,0,1,4.03E-181,2.94E-114,1.26E-126,0,0
23811-08-7,0,0,0,1,0,1.11E-201,3.71E-54,0,0
2387-78-2,0,0,0,1,0,1.07E-89,0,0,1.44E-186
2396-84-1,0,0,0,1,9.07E-228,3.19E-36,0,0,0
23986-74-5,8.32E-120,3.39E-120,3.06E-120,6.44E-71,3.03E-64,0.999881586,2.37E-71,1.13E-120,0.000118414
2400-66-0,0,0,0,1,0,2.67E-41,4.87E-53,0,5.91E-210
24035-43-6,0,0,0,4.52E-22,1,1.09E-176,2.27E-48,0,0
24048-40-6,0,0,0,1,0,4.34E-53,4.71E-33,0,0
24048-44-0,0,0,0,1,0,5.01E-68,4.77E-14,1.73E-27,9.28E-234
2407-43-4,0,0,0,0,2.93E-95,6.08E-75,1,1.94E-268,0
24251-86-3,0,0,6.11E-241,1,1.79E-270,1.21E-123,0,0,0
24254-56-6,0,0,2.00E-274,1,2.70E-254,9.56E-112,0,0,3.19E-151
24268-34-6,0,0,0,9.50E-10,0,9.19E-173,0.999999999,0,2.43E-256
2437-56-1,0,0,0,1.77E-35,0,4.36E-236,1,0,1.85E-303
24406-05-1,0,0,0,1,0,8.03E-44,3.59E-62,0,1.04E-83
2442/10/6,0,0,0,2.08E-37,1.66E-255,4.82E-118,1,0,0
2445-77-4,0,0,0,1,1.76E-207,1.03E-15,0,0,3.92E-62
24545-81-1,0,0,0,1,0,3.69E-69,2.24E-11,0,6.90E-170
24563-84-6,0,0,0,1,9.08E-35,1.31E-146,1.09E-50,2.51E-235,3.22E-89
24703-35-3,0,0,0,1.20E-09,3.38E-111,1.76E-21,3.30E-07,9.37E-103,0.999999669
24717-86-0,0,0,0,5.12E-49,0,1.57E-67,1,0,0
24903-95-5,0,0,0,0.999998353,1.65E-06,3.41E-141,1.37E-58,0,3.16E-101
2497-18-9,0,0,0,0.999999889,0,1.11E-07,0,0,2.35E-125
2507800-43-1,0,0,0,0.00E+00,0,4.49E-60,0,0,1
25152-83-4,0,0,0,1,0,3.51E-158,2.87E-41,0,1.90E-269
25152-84-5,0,0,0,0.999984943,0,1.51E-05,0,0,6.81E-186
25152-85-6,0,0,0,1,0,5.71E-186,4.66E-75,0,1.08E-88
25246-27-9,0,0,0,1,0,7.56E-80,1.16E-218,0,1.93E-92
25269-17-4,0,0,0,1,0,8.70E-186,7.87E-156,0,1.12E-250
25428-44-8,0,0,0,8.95E-51,0,1.18E-137,1,0,1.11598500515232e-314
2548-87-0,0,0,0,1,3.48E-162,1.10E-110,5.15E-123,0,0
25532-74-5,0,0,0,1,0,1.22E-52,3.73E-68,0,2.47E-223
25966-81-8,0,0,0,0.002101132,0,6.85E-44,0.997898868,0,0
26001-58-1,0,0,0,0.860671443,3.42E-57,9.58E-90,0.139328557,0,2.01E-250
262352-87-4,0,0,0,1.46E-34,3.43E-114,1.17E-162,1,2.59E-187,5.29E-63
262352-88-5,0,0,0,4.12E-52,0,8.58E-61,1,0,5.08E-67
26294-59-7,0,0,0,0.000338252,7.10E-60,2.05E-54,0.999661747,8.95E-10,3.35E-16
2656-44-2,0,0,0,8.15E-07,0,5.07E-159,0.999999185,1.34E-103,2.54E-138
26620-71-3,0,0,0,0.535939765,1.73E-151,2.15E-102,0.464060235,0,5.10E-113
26627-85-0,5.22E-07,0.008288409,0.991711069,0,1.15E-203,5.50E-49,0,1.85E-282,0
26762-44-7,0,0,0,1,0,2.15E-34,4.54E-63,0,0
26764-25-0,1.14E-95,1.85E-176,2.74E-137,0,0,1,1.14E-96,0,8.61E-97
267665-20-3,0,0,0,1.24E-36,0,2.70E-53,1,0,0
27196-00-5,0,0,0,7.54E-24,9.00E-41,1,0,0,1.37E-186
27342-88-7,0,0,0,6.57E-127,1.27E-129,3.09E-186,1,0,0.00E+00
27400-71-1,0,0,0,1.36E-13,0,6.13E-115,1.31E-127,1,0
2756-56-1,0,0,0,2.63E-12,0,7.68E-98,0,0,1
27625-35-0,0,0,0,2.40E-209,0,1,0,0,2.39E-73
2765/11/9,0,0,0,1,0,4.22E-144,5.42E-33,0,0
27710-67-4,0,0,0,0.998529901,0,3.92E-65,0.001470099,0,0
27840-40-0,0,0,0,2.39E-62,1,4.85E-72,2.79E-16,1.37E-178,8.98E-112
27898-42-6,0,0,0,1.69E-21,2.05E-68,1.08E-108,1,3.01E-69,1.53E-155
28296-72-2,0,0,0,3.78E-40,0,1.09E-70,1,0,0
28296-85-7,0,0,0,1,0,5.16E-96,5.44E-14,1.02E-183,6.92E-109
28305-60-4,0,0,0,0.999999857,1.43E-07,2.31E-72,9.24E-72,1.10E-199,3.44E-26
28387-44-2,0,0,0,0.999999748,3.78E-262,6.04E-102,2.52E-07,4.08E-53,7.97E-25
28387-62-4,0,0,0,1,0,1.48E-48,1.59E-40,7.27E-21,0
28400-11-5,0,0,0,1.96E-112,0,5.76E-242,1,0,6.14E-275
28400-12-6,0,0,0,1,0,4.10E-195,1.62E-164,0,4.78E-217
2847-72-5,0,0,0,1,0,1.43E-141,1.99E-150,1.03E-99,8.86E-267
28477-64-7,0,0,0,1,0,1.40E-107,1.15E-58,0,5.89E-96
28634-89-1,0,0,0,0.003119804,0,3.13E-157,0.996880196,0,0
2867/5/2,3.36E-265,3.44E-266,6.82E-266,3.38E-27,3.51E-260,8.33E-30,1,5.86E-122,8.38E-13
287968-09-6,0,0,0,1,3.55E-172,2.37E-87,0,0,4.08E-106
288393-04-4,0,0,0,1,0,2.76E-34,0,0,4.41E-13
2883-98-9,1.02E-56,4.42E-82,4.25E-57,1.61E-55,9.68E-42,1,0,0,3.11E-142
28908-21-6,0,0,0,1,3.65E-150,2.43E-142,3.09E-19,9.11E-125,0
28933-79-1,0,0,0,1,0,1.79E-234,7.92E-73,0,9.78E-130
28973-89-9,0,0,0,1,6.87E-207,7.14E-153,2.42E-15,0,2.23E-284
28973-97-9,0,0,0,1.38E-47,0,2.57E-79,1,0,1.71E-155
28976-67-2,0,0,0,1,3.28E-68,7.43E-116,4.39E-20,0,2.72E-63
28976-68-3,0,0,0,8.40E-31,5.62E-64,2.75E-176,1,1.49E-301,1.10E-88
28977-58-4,0,0,0,1,8.67E-11,3.23E-69,0,0,5.10E-48
29050-33-7,0,0,0,4.43E-18,0,2.38E-98,1,0,2.83E-168
29350-73-0,0,0,0,1,4.53E-32,3.49E-110,0,0,1.22E-93
29354-98-1,0,0,0,0.000141246,2.19E-138,2.08E-77,0.999858754,0,1.34E-302
29414-55-9,0,0,0,1,0,1.66E-57,0,0,4.48E-196
29548-14-9,0,0,0,1,1.81E-69,4.87E-48,0,0,1.89E-206
29548-30-9,0,0,0,1,2.80E-12,4.02E-120,7.87E-11,9.38E-307,2.84E-74
29597-36-2,0,0,0,7.56E-38,4.33E-26,2.71E-204,1,2.15E-22,5.01E-58
29621-78-1,0,0,0,1.84E-25,0,1.88E-94,1,0,0
29714-87-2,0,0,0,0.276823018,7.35E-40,1.79E-43,2.10E-07,2.43E-293,0.723176772
29743-97-3,1.51E-176,4.59E-221,5.51E-254,5.01E-239,8.74969022361192e-315,1,3.09E-273,3.00E-290,4.76E-31
29803-81-4,0,0,0,1,0,1.81E-87,1.63E-38,0,2.62E-52
29803-82-5,0,0,0,0.012403721,0,2.10E-99,0.987596279,0,6.94E-148
2980-69-0,0.985655692,2.49E-31,0.014344308,0,5.63E-220,2.25E-60,6.82E-26,1.69E-118,0
29837-07-8,0,0,0,1,6.29E-22,1.65E-158,2.80E-230,5.70E-277,1.01E-121
29837-12-5,0,0,0,0.999999757,1.32E-101,6.49E-61,2.43E-07,2.50E-78,9.01E-44
29873-99-2,0,0,0,1.68E-33,0,1,3.32E-65,0,6.66E-15
30021-74-0,8.69E-255,2.91E-254,6.54E-255,1.28E-07,1.92E-254,0.999999872,5.96E-206,0,3.65E-26
301-00-8,3.44E-169,0,0,1,2.93E-49,5.73E-127,0,0,2.13E-304
30199-26-9,0,0,0,1.03E-34,8.59E-40,5.76E-93,1,6.57E-197,0
3033-23-6,0,0,0,1,0,2.90E-148,5.35E-42,0,0
30346-21-5,0,0,0,1.04E-24,1,5.25E-143,0,0,1.10E-202
30460-92-5,0,0,0,1,0,5.80E-84,7.19E-33,0,1.17E-177
30557-76-7,0,0,0,6.77E-165,2.21E-246,9.33E-272,1,0,0
30649-97-9,0,0,0,2.43E-13,0.999923399,3.38E-70,7.66E-05,3.33E-27,6.83E-127
31295-56-4,0,0,0,1.59E-163,2.36E-160,0.999999551,0,0,4.49E-07
3149-28-8,0,0,0,1,0,2.87E-109,0,1.43E-63,5.02E-281
31499-72-6,0.542936995,4.67E-36,0.457063005,0,0,3.21E-66,2.25E-216,1.19E-212,8.90E-209
31502-14-4,0,0,0,0.999984681,1.53E-05,1.66E-93,0,9.67727833062248e-316,0
31560-66-4,0,0,0,1,0,2.19E-120,2.39E-33,5.09E-209,1.62E-109
31570-39-5,0,0,0,1,2.86E-109,1.75E-88,1.42E-18,1.31E-85,1.42E-55
317819-80-0,0,0,0,4.26E-96,1.10E-303,5.88E-61,9.69E-22,0,1
32142-08-8,0,0,0,1,0,1.37E-213,1.22E-82,0,8.21E-200
3242/8/8,0,0,0,5.46E-76,0,5.30E-210,1,0,1.26E-173
3243-36-5,0,0,0,1,0,6.57E-306,0,0,1.07E-112
32435-95-3,0,0,0,1.89E-05,0,1.76E-45,0.999981091,0,2.62E-42
3247-40-3,0,0,0,1,0,2.34E-127,7.05E-104,0,4.66E-252
32531-56-9,0,0,0,0.999999999,3.63E-171,5.47E-115,1.00E-09,3.22E-125,5.57E-88
32779-58-1,0,0,0,1,0,3.30E-164,6.48E-15,0,7.08E-150
3293-47-8,0,0,0,1,9.08E-253,3.25E-124,0,0,0
3310/2/9,0,0,0,0.001804669,0.998195331,2.38E-109,5.90E-38,0,0
3321-66-2,0,0,0,6.92E-64,1,7.10E-114,1.29E-16,5.39E-62,4.21E-74
3338-55-4,0,0,0,4.01E-77,5.53E-94,1,3.17E-32,6.38E-140,2.94E-10
334-48-5,7.60737084118414e-318,1.08288814189839e-318,0,8.66E-307,3.31E-304,2.70E-59,1,5.85E-270,2.58E-34
33467-73-1,0,0,0,0.596222579,0,1.14E-89,0.403777421,0,3.26E-145
33522-69-9,0,0,1.65E-305,3.60408141747527e-317,1.27E-233,0.308317707,0,0,0.691682293
33746-72-4,0,0,0,1,4.81E-97,4.90E-78,0,1.80E-293,2.56E-272
3387-41-5,1.15E-201,1.03E-191,4.23E-202,6.49E-72,2.62E-55,6.41E-77,2.95E-71,3.49E-190,1
33879-66-2,0,0,8.09E-303,1,0,2.57E-48,1.39E-36,1.47E-236,2.45E-37
33898-53-2,0,0,0,1.89E-09,2.80E-115,9.05E-77,0.999999998,0,8.78E-108
3391-86-4,0,0,0,1,5.68E-78,1.24E-147,6.99E-62,0,9.39E-203
3419/2/1,0,0,0,1,0,4.30E-119,0,8.61E-191,3.30E-66
34223-60-4,0,0,0,1.52E-138,0,1.33E-28,1,0,0
34424-57-2,0,0,0,7.85E-177,0,3.86E-67,1,0,2.86E-157
3452/7/1,0.720619263,1.50E-06,0.279379232,1.04E-215,0,2.28E-69,6.32E-96,1.64E-188,2.49E-21
346608-97-7,0,0,0,1,0,5.19E-82,6.34E-17,0,1.26E-92
35241-40-8,0,0,0,8.22E-30,3.82E-54,8.20E-69,1,1.00E-28,5.71E-73
3564-54-3,0,0,0,1,0,2.31E-72,1.25E-38,0,3.77E-221
3570/4/5,0,0,0,2.30E-09,0,1.93E-107,0,0.999999998,3.75E-148
35727-45-8,0,0,0,1,0,4.03E-172,0,0,8.87E-155
35732-37-7,0,0,0,0.999974872,7.87E-119,3.38E-30,5.46E-28,0,2.51E-05
35907-10-9,0,0,2.35E-303,0.999999867,4.94E-242,4.68E-153,1.33E-07,0,6.46E-161
36204-27-0,0,0,0,2.51E-136,0,1.17E-207,1,0,0
36262-09-6,0,0,0,0,0,1,0,0,4.10E-107
36312-33-1,0,0,0,1,0,4.02E-94,9.79E-36,0,9.08E-114
36437-95-3,0,0,0,0.978050958,0,7.53E-78,0.021949042,0,1.47E-95
3650-13-3,0,0,0,9.76E-56,4.56977942994863e-312,2.03E-126,1,4.07E-200,5.24E-60
36653-82-4,0,0,0,1,0,3.00E-125,2.48E-20,0,1.90E-76
3681-71-8,0,0,0,1,0,2.00E-156,2.55E-58,0,2.26E-171
3691-11-0,0,0,0,4.34E-27,4.62E-108,1.04E-120,1,1.56E-92,2.74E-154
3691/12/1,0,0,0,0.819031138,1.28E-170,2.73E-68,0.180968862,2.95E-170,9.31E-55
372162-07-7,0,0,0,1.04E-85,0,4.50E-172,1,0,0
3724-65-0,0,0,0,2.18E-16,2.42E-235,1.12E-178,1,0,5.29E-300
373-49-9,0,0,0,1,2.65E-35,6.50E-113,1.51E-100,0,1.47E-256
3772-55-2,0,0,0,6.74E-37,0.999999996,9.30E-168,4.30E-09,0,1.57E-70
3772-93-8,0,0,0,1,0,3.02E-75,7.90E-13,4.83E-105,9.52E-128
3777-69-3,0,0,0,1,0,1.67E-92,6.91E-38,0,0
3779-61-1,0,0,0,6.79E-14,0,0.833294062,0.166047392,0,0.000658546
37839-64-8,0,0,0,0.457427854,4.92E-172,1.62E-137,0.542572146,3.85E-235,0
3790-71-4,0,0,0,1,0,2.33E-94,4.11E-48,0,1.18E-215
3790-78-1,0,0,0,1,0,7.81E-162,3.88E-290,0,7.99E-144
3796-70-1,0,0,0,4.09E-26,0,1.40E-93,1,0,1.15E-190
38049-26-2,0,0,0,1,0,5.14E-175,1.02E-36,0,0
38230-60-3,0,0,0,1,0,1.19E-134,1.64E-57,0,1.86E-264
38331-79-2,0,0,0,1,9.02E-188,0,6.70E-64,4.96E-178,0
3853-83-6,0,0,0,1,1.70E-95,5.99E-68,2.93E-45,8.98E-304,2.66E-90
3855-14-9,0,0,0,1,0,1.84E-229,6.44E-28,0,0
3856-25-5,3.92E-178,1.01E-175,1.90E-174,1.97E-22,2.65E-60,0.089346765,2.27E-89,8.20E-61,0.910653235
38647-26-6,0,0,0,1.22E-27,1,9.33E-176,5.07E-19,2.46E-24,1.06E-285
3879-26-3,0,0,0,1,0,2.66E-82,1.27E-88,0,2.97E-129
3879-60-5,0,0,0,7.13E-42,6.07E-107,9.64E-35,6.74E-29,1,0
3886-78-0,0,0,0,1.99E-41,7.06E-92,1,0,0,1.94E-65
3891-98-3,6.43E-44,5.28E-83,2.43E-44,6.46E-99,1,2.27E-122,0,0,5.89E-281
39029-41-9,1.15E-195,5.72E-190,3.12E-193,2.90E-28,2.41E-192,2.15E-08,7.54E-140,0,0.999999979
3913-81-3,0,0,0,1,0,5.42E-252,3.92E-95,0,1.83E-146
39702-28-8,0,0,0,1,0,1.76E-158,0,0,5.53E-278
39863-73-5,0,0,0,2.38E-19,1.33E-63,9.74E-108,1,4.27E-131,2.38E-163
4057-31-2,0,0,0,1,0,3.19E-92,5.78E-51,0,5.89E-146
40716-66-3,0,0,0,1,0,9.31E-68,2.86E-91,0,4.15E-92
4080-46-0,0,0,0,1,0,1.17E-121,6.28E-72,0,0.00E+00
41370-56-3,0,0,0,1,0,3.94E-66,1.93E-42,0,5.88E-180
41370-57-4,0,0,0,1,0,2.04E-165,2.25E-103,0,0
41446-53-1,0,0,0,1,0,2.11E-171,4.74E-30,0,1.11E-57
41446-58-6,0,0,0,1,0,7.49E-199,4.33E-32,0,2.16E-247
41446-59-7,0,0,0,1,0,1.04E-220,5.47E-64,0,6.61E-232
41577-36-0,0,0,0,1,3.99E-81,1.31E-87,1.28E-11,1.38E-247,7.76E-137
41678-32-4,0.808526612,8.13E-37,2.21E-66,0.191473388,0,3.68E-58,5.05E-263,1.28E-268,1.74E-132
41702-63-0,0,0,0,1,0,3.12E-120,1.34E-94,0,2.22E-270
4180-23-8,0,0,0,6.24E-22,0,1.72E-107,1,1.24E-112,8.22E-167
4192-77-2,0,0,0,1.24E-28,1,9.91E-116,1.27E-184,0,2.73E-121
41943-81-1,0,0,0,4.17E-10,1,4.65E-220,1.01E-16,5.98E-208,1.01E-160
420109-31-5,8.44E-46,7.33E-53,4.71E-53,2.46E-51,0,1,1.17E-96,0,1.20E-264
4221/3/8,2.47E-301,1.09E-277,2.81E-278,3.58E-17,5.13E-261,1,2.96E-45,3.45E-261,1.80E-30
4312-99-6,0,0,0,1,6.84E-199,4.20E-62,7.18E-16,5.66E-92,2.77E-62
4313/3/5,1.47E-07,1.01E-44,5.30E-08,0.999999796,0,4.15E-81,0,0,3.55E-09
432-25-7,0,0,0,7.06E-10,0,5.52E-119,0.999999999,0,1.54E-108
4371-50-0,0,0,0,3.55E-11,0,1.42E-88,1,0,4.45E-191
442853-35-2,0,0,0,1,4.72E-121,2.99E-128,7.86E-54,6.05E-207,0
446050-56-2,0,0,0,0.55757215,8.20E-188,1.88E-136,0.44242785,0,2.04E-175
4497-92-1,0,0,0,1,0,4.66E-187,7.43E-60,0,0
4501-58-0,0,0,0,1,0,4.52E-24,5.72E-61,0,2.59E-217
4586-22-5,0,0,0,0.999999978,0,2.68E-163,2.17E-08,0,7.06E-249
460-01-5,0,0,0,1.77E-33,0,8.22E-183,1,0,2.45E-98
4602-84-0,0,0,0,1,0,1.01E-124,1.30E-109,0,6.52E-123
461-55-2,3.60E-69,2.59E-183,6.31E-83,1.80E-120,0,1,0,0,7.03E-121
4630/7/3,0,0,0,0.999883395,0,2.96E-94,0.000116605,0,3.56E-81
463-40-1,0,0,0,3.58E-60,0,5.88E-118,1,0,6.45E-178
464-17-5,0,0,0,5.70E-20,3.61E-84,1.52E-103,1,2.24E-57,5.19E-120
464-45-9,0,0,0,1,0,5.95E-300,1.08E-44,0,0
464-48-2,0,0,0,1.42E-08,1.42E-41,3.80E-106,0.999999986,2.84E-79,2.47E-79
464-49-3,0,0,0,5.28E-179,0,1.34E-125,1,0,1.29E-172
465-24-7,0,0,0,1,0,9.89E-51,6.62E-22,0,5.65E-114
465-28-1,0,0,0,1,0,8.80E-166,1.38E-52,2.59628373688179e-313,1.48E-70
465-31-6,0,0,0,5.15E-55,0,2.17E-68,1,0,3.17E-84
4666-84-6,0,0,0,1,0,1.62E-113,0,0,7.43E-199
4674-50-4,0,0,0,1,0,3.53E-177,4.09E-88,0,9.38E-297
468-68-8,0,0,0,2.80E-105,0,1.23E-105,1,0,4.01E-296
469-61-4,0,0,0,1.74E-07,0,8.84E-93,0.999999826,0,1.15E-164
469-86-3,0,0,0,2.45E-86,3.06E-76,2.04E-37,1,0,2.54E-58
470-40-6,0,0,0,1,0,6.06E-91,3.69E-110,0,9.87E-294
470-67-7,0,0,0,5.14E-56,1.57E-121,5.13E-127,1,4.71E-175,2.23E-64
470-82-6,0,0,0,1,2.49E-249,4.85E-60,1.30E-38,0,6.65E-67
471-12-5,0,0,0,1,2.07E-90,5.90E-148,4.43E-34,5.48E-192,0
471-15-8,0,0,0,2.39E-17,0,5.80E-105,1,0,7.22E-146
471-16-9,0,0,0,0.993909519,6.69E-273,3.34E-39,3.77E-31,0.006090481,1.74E-109
471-84-1,0,0,0,1.04E-08,0,8.14E-32,0.99999999,0,7.26E-86
472-07-1,0,0,0,1,1.02E-92,1.82E-36,0,0,1.82E-20
472-37-7,0,0,0,2.45E-42,7.00E-79,6.47E-127,1,0,1.56E-258
473-04-1,0,0,0,5.38E-47,1,2.34E-123,7.63E-65,0,1.26E-45
473-06-3,0,0,0,1,0,6.51E-28,4.30E-24,0,1.70E-153
473-13-2,0,0,0,1,0,6.86E-60,3.56E-35,0,1.22E-85
473-14-3,0,0,0,1,0,4.69E-154,4.19E-31,0,3.72E-163
473-15-4,0,0,0,1,0,4.23E-13,3.11261356879985e-322,0,4.12E-63
473-16-5,0,0,0,1,0,1.31E-16,0,0,3.48E-34
473-17-6,0,0,0,1.34E-73,2.38E-133,1.04E-173,8.51E-74,2.05E-131,1
473-67-6,0,0,0,2.06E-68,0,1.56E-204,1,4.02E-116,2.90E-283
475-03-6,1.72E-05,0.999976694,6.08E-06,0,2.31E-253,0,0,0,0
475-20-7,0,0,0,0.999996379,1.72E-121,1.82E-97,3.62E-06,1.02E-200,4.49E-169
477-94-1,0,3.73E-264,2.64819186170908e-321,2.93E-25,1.15E-134,1,0,0,7.17E-265
481-34-5,5.66E-135,2.08E-135,2.08E-135,2.37E-135,2.08E-135,1,7.66E-136,7.66E-136,4.25E-35
4821/4/9,0,0,0,1.16E-27,0,1.87E-67,1,0,1.00E-112
483-76-1,8.86E-13,7.23E-11,3.26E-13,0.684823215,0.000268674,0.046048688,0.251815567,9.88E-05,0.016945017
483-77-2,0,0,0,0.999999958,0,6.87E-80,4.16E-08,0,6.19E-116
483-78-3,0,0,0,1,7.15E-158,8.29E-34,1.29E-12,0,3.01E-249
487-11-6,0,0,0,9.04E-39,1.84E-65,3.74E-107,1,1.54E-165,7.30E-68
488-97-1,0,0,0,1,0,6.40E-61,0,0,0
489-39-4,0,0,0,1,1.84E-136,2.27E-41,1.77E-90,1.07E-154,2.10E-26
489-40-7,0,0,0,1,1.66E-104,8.17E-55,1.05E-10,2.77E-242,6.13E-59
489-41-8,0,0,0,4.14E-40,0,0.999380145,7.63E-65,0,0.000619855
489-45-2,0,0,0,1,0,9.66E-138,1.56E-25,0,0
4895-23-2,0,0,0,0.999999997,4.81E-13,6.95E-13,2.71E-09,1.33E-167,2.79E-178
489-86-1,0,0,0,2.10E-16,6.56E-106,6.67E-11,1,1.03E-22,1.16E-128
491-09-8,0,0,0,7.25E-90,0,1.45E-170,1,0,3.51E-272
493-01-6,0,0,0,3.65E-13,0,8.04E-138,1,0,1.13E-110
4938-52-7,0,0,7.44E-292,1,2.16E-130,4.19E-79,0,0,6.21E-132
4948-29-2,0,2.01E-272,0,2.84E-158,0,1.01E-61,0,0,1
495-60-3,4.42E-22,1.69E-13,2.66E-34,3.38E-96,1.43E-169,1,0,0,0
495-61-4,0,0,0,1,0,5.73E-77,1.69E-18,0,1.16E-85
495-62-5,0,0,0,1.25E-17,0,8.02E-168,1,0,1.21E-249
496-16-2,0,0,0,1.38E-133,5.79E-11,8.27E-58,1,4.26318277539074e-317,3.85E-57
496-77-5,0,0,2.64E-64,4.31E-09,3.62E-90,8.69E-75,0.999999996,2.31E-252,3.18E-73
498-81-7,0,0,0,8.93E-21,0,3.12E-124,1,0,0
499-74-1,0,0,0,1.75E-186,0.999798477,7.20E-134,0.000201523,0,0
499-75-2,0,0,0,0.999976541,2.93E-286,7.54E-147,2.35E-05,1.45E-123,1.82E-151
499-97-8,0,0,0,3.40E-06,0.999996597,1.68E-70,1.33E-104,0,1.04E-85
500-00-5,0,0,0,1,0,9.09E-179,6.26E-164,0,0
500-02-7,0,0,0,0.978884065,0,4.85E-95,0.021115935,0,0
501-92-8,0,0,0,1,1.56E-185,8.03E-166,7.89E-111,1.80E-218,4.06E-112
502-26-1,0,0,0,0.02673052,0,1.44E-142,0.97326948,0,1.09E-130
502-47-6,0,0,0,1,0,2.26E-231,2.36E-55,0,2.23E-135
502-61-4,0,0,0,1.10E-22,4.57E-65,2.05E-28,1,2.10E-76,1.67E-105
502-69-2,0,0,0,2.28E-29,2.29E-129,5.21E-126,1,0,2.87E-143
50277-34-4,0,0,0,1,4.86E-106,4.95E-135,3.09E-12,0,2.47E-152
504-44-9,0,0,0,5.23E-70,0,1.00E-69,1,2.53E-304,1.65E-143
504-96-1,0,0,0,2.67E-17,0,1.13E-219,1,0,7.59E-134
505-32-8,0,0,0,3.87E-38,2.35E-154,6.05E-149,1,0,3.08E-207
506-12-7,0,0,0,1,3.12545927559173e-320,3.01E-103,0,0,0
506-52-5,0.642596436,6.95E-07,0.35740287,6.47E-76,0,7.96E-277,4.30E-287,0,3.37E-50
50657-30-2,0,0,0,0,8.69818568453882e-310,1,0,0,7.21E-120
50764-55-1,0,0,0,1,0,6.46E-96,3.01E-104,0,8.43696533781781e-313
507-70-0,1.27E-234,4.69E-235,4.69E-235,0.293399324,2.86E-129,0.706600676,1.26E-154,4.53E-126,1.89E-10
508-32-7,1.41E-219,1.48E-190,2.14E-172,0.011841935,8.37E-115,0.148309008,0.839849057,3.08E-115,1.21E-130
508-55-4,0,0,0,0.000282905,0,1.69E-76,0.999717095,0,1.76E-160
50894-66-1,0,0,0,1,0,2.08E-99,1.84E-38,0,1.19E-89
5090-61-9,0,0,0,0,0,5.81E-37,0,0,1
1951/6/9,0,0,0,2.57E-19,0,6.95E-178,1,0,9.95E-149
511-02-4,0,0,0,1,0,6.81E-134,2.73E-31,0,9.49E-141
511-05-7,0,0,6.66E-249,1,2.14E-247,1.83E-116,4.84E-146,0,2.23E-86
511-15-9,0,0,0,1.18E-34,2.80E-139,2.23E-50,1,8.84E-189,1.50E-145
511-59-1,0,0,0,1,0,1.07E-125,2.56E-104,5.93E-168,3.63E-19
511-85-3,0,0,0,1,0,1.26E-198,4.75E-17,0,5.39E-212
51317-08-9,0,0,0,2.24E-05,2.30E-76,1.06E-92,0.999977598,1.72E-115,5.02E-120
513-20-2,0,0,0,1,4.71E-108,8.03E-86,3.67E-114,0,1.99E-258
513-23-5,0,0,0,2.98E-112,0,9.85E-45,1,0,0
514-15-8,0,0,0,2.81E-145,0,1.71E-251,1,0,2.90E-256
514-51-2,0,0,0,1,0,2.00E-89,9.71E-21,0,0
