species,aPinene,aTerpineol,Caryophyllene,bPinene
Cupressus_cashmeriana,0.835249042,0,0.088122605,0.076628352
Cupressus_chengiana,0.951351351,0.037837838,0,0.010810811
Cupressus_funebris,0,0,1,0
Cupressus_tonkinensis,0.913043478,0.027667984,0.031620553,0.027667984
Juniperus_convallium,0.926910299,0.026578073,0.03820598,0.008305648
Juniperus_indica,0.948979592,0.020408163,0.010204082,0.020408163
Juniperus_komarovii,0.84423676,0.15576324,0,0
Juniperus_recurva,0.967741935,0.032258065,0,0
Juniperus_przewalskii,0.936102236,0.031948882,0.022364217,0.009584665
Juniperus_saltuaria,0.893617021,0.085106383,0,0.021276596
Juniperus_tibetica,0.95718232,0.026243094,0.006906077,0.009668508
Juniperus_macrocarpa,0.816129032,0.093548387,0.006451613,0.083870968
Juniperus_phoenicea,0.930470348,0,0.069529652,0
Juniperus_polycarpos,0.930835735,0,0.005763689,0.063400576
Juniperus_excelsa,0.987309645,0,0,0.012690355
Juniperus_chinensis,0.047619048,0,0.952380952,0
Juniperus_thurifera,1,0,0,0
Juniperus_procera,1,0,0,0
Juniperus_microsperma,0.473684211,0,0.421052632,0.105263158
Juniperus_semiglobosa,1,0,0,0
Juniperus_sabina,0.452892562,0.095867769,0.016528926,0.434710744
Juniperus_virginiana,0,0,0,0
Juniperus_horizontalis,0.917431193,0.027522936,0.055045872,0
Juniperus_flaccida,0.895027624,0.016574586,0.008287293,0.080110497
Juniperus_osteosperma,0.975903614,0.007228916,0.004819277,0.012048193
Juniperus_drupacea,1,0,0,0
Juniperus_rigida,0.151796778,0.035935564,0.812267658,0
Juniperus_taxifolia,0.82322357,0.006932409,0.017331023,0.152512998
Juniperus_communis,0.584415584,0.303030303,0,0.112554113
Juniperus_formosana,0.799538106,0.019399538,0.081755196,0.099307159
Juniperus_oxycedrus,0.927385892,0,0.022821577,0.049792531
Juniperus_cedrus,0.936423841,0.00397351,0.005298013,0.054304636
Chamaecyparis_pisifera,0.815997816,0,0,0.184002184
Chamaecyparis_formosensis,0.914285714,0,0.085714286,0
Chamaecyparis_lawsoniana,0.571428571,0.285714286,0.142857143,0
Fokienia_hodginsii,0.951885566,0,0.014304291,0.033810143
Metasequoia_glyptostroboides,0.862733645,0.008761682,0.128504673,0
Sequoia_sempervirens,0.350983359,0.224659607,0.424357035,0
Sequoiadendron_giganteum,0.916666667,0.06097561,0,0.022357724
Athrotaxis_cupressoides,0.923076923,0.057692308,0,0.019230769
Athrotaxis_laxifolia,0.902439024,0.073170732,0.024390244,0
Athrotaxis_selaginoides,0,1,0,0
Cephalotaxus_sinensis,0.653163248,0,0.289260472,0.05757628
Cephalotaxus_griffithii,0.784182306,0.002680965,0.156836461,0.056300268
Cephalotaxus_harringtonia,0,0.086580087,0.913419913,0
Torreya_fargesii,0.852117127,0,0.147882873,0
Torreya_taxifolia,0.749259625,0,0.089832182,0.160908193
Amentotaxus_argotaenia,0.764044944,0,0.168539326,0.06741573
Taxus_baccata,0,0,0.473684211,0.526315789
Taxus_cuspidata,0,1,0,0
Taxus_wallichiana,0.636363636,0,0.090909091,0.272727273
Sciadopitys_verticillata,0.927699777,0,0.00144338,0.070856843
Ephedra_sinica,0,1,0,0
Ephedra_alata,0.488888889,0.511111111,0,0
Ephedra_fragilis,0,0,0,0
Ephedra_distachya,0,1,0,0
