species,VOC
Abies_concolor,bPinene
Pinus_pinaster,aPinene
Pinus_roxburghii,aPinene
Pinus_canariensis,aPinene
Pinus_brutia,aPinene
Pinus_heldreichii,aPinene
Pinus_uncinata,aPinene
Pinus_mugo,aPinene
Pinus_sylvestris,aPinene
Pinus_nigra,aPinene
Pinus_kesiya,bPinene
Pinus_merkusii,Caryophyllene
Pinus_crassicorticea,aPinene
Pinus_massoniana,Caryophyllene
Pinus_densiflora,aPinene
Pinus_thunbergii,bPinene
Pinus_contorta,aTerpineol
Pinus_ponderosa,bPinene
Pinus_palustris,aTerpineol
Pinus_caribaea,aPinene
Pinus_taeda,aPinene
Pinus_rigida,bPinene
Pinus_elliottii,aPinene
Pinus_attenuata,bPinene
Pinus_patula,aPinene
Pinus_bungeana,Caryophyllene
Pinus_gerardiana,bPinene
Pinus_krempfii,aPinene
Pinus_peuce,aPinene
Pinus_strobus,aPinene
Pinus_flexilis,aPinene
Pinus_cembra,aPinene
Pinus_monticola,bPinene
Pinus_parviflora,bPinene
Pinus_armandii,Caryophyllene
Pinus_koraiensis,Caryophyllene
Pinus_wallichiana,bPinene
Pinus_monophylla,aPinene
Pinus_edulis,bPinene
Picea_glauca,aTerpineol
Picea_engelmannii,aPinene
Picea_orientalis,bPinene
Picea_pungens,bPinene
Picea_abies,aPinene
Picea_glehnii,aPinene
Picea_mariana,aPinene
Larix_kaempferi,aPinene
Larix_laricina,aPinene
Larix_decidua,aPinene
