species,X80.56.8,X123.35.3,X562.74.3,X98.55.5,X87.44.5,X483.76.1,X79.92.5,X127.91.3,X138.86.3
Callitris_canescens,49.8,1.4,0.2,0.4,0.1,0,0.2,0.6,13.2
Callitris_monticola,0,0,0.5,0.7,0.5,1,0,0,0.1
Callitris_roei,0.1,0.2,0,0.3,1.5,0,0,0,0.2
Callitris_columellaris,5.4,11.9,0.5,0.4,0.4,0,1.7,0.2,50.5
Callitris_baileyi,19.7,11.7,0.3,1.6,0,0,1.9,0.4,34.5
Callitris_drummondii,69.1,5.9,0.6,1.6,0,0,0.5,1.4,1.5
Actinostrobus_arenarius,74.5,1.7,0.1,0.6,0,0,0.4,0.8,1.5
Actinostrobus_pyramidalis,69.9,2,0.2,0.6,0,0,0.7,1,1.9
Actinostrobus_acuminatus,69.2,1.2,0,0.6,0.3,0.4,0.4,0.8,1.4
Pilgerodendron_uviferum,0,0,0,0,1.27,10.81,0,0,0.24
Thuja_koraiensis,0.46,1.1,0,0.95,0.92,0,0.25,0,0
Thuja_sutchuenensis,25.3,1.6,0.2,0.4,12.2,0.7,0.2,0.5,0
Thuja_occidentalis,0,0,3.37,0,0,0,0,0,0
Thuja_plicata,1.1,1.2,1.8,0.2,0,0,0.7,0.1,1.2
Tetraclinis_articulata,36.1,2.2,0.7,0.4,2.3,0.5,1.5,1,2.9
Platycladus_orientalis,68.1,1.6,0.3,0.3,2.8,0.3,0.3,1.4,0
Calocedrus_macrolepis,0.02,0,0,6,0,0,0.05,0,0.1
Calocedrus_formosana,63.8,2.9,0.4,0.2,0,0,0.8,1,2.9
Calocedrus_decurrens,2.59,0,0,0,1.72,0,0,0,0.74
Xanthocyparis_vietnamensis,0,0.2,3,0.5,0,1.2,0,0,0.2
Cupressus_guadalupensis,32.2,3.9,7.1,1.4,0,0.2,0.7,2.8,2.2
Cupressus_arizonica,70.93,0.94,0,0,3.68,0.16,1.18,12.72,0
Cupressus_macnabiana,11,0.7,3.7,0.3,0.1,0,0,0.2,4
Cupressus_goveniana,32.2,3.9,7.1,1.4,0,0.2,0.7,2.8,2.2
Callitropsis_nootkatensis,12.2,6.1,0.6,0,0,0,0,0,53.2
Cupressus_atlantica,46.3,2.3,0.6,1,0.2,0,0,1.5,6.3
Cupressus_dupreziana,44.2,2.5,0.3,0,0.9,1.3,0.1,1.2,2.2
Cupressus_duclouxiana,3.5,0.8,5.9,0.9,0.3,2.9,0,0,15.7
Cupressus_torulosa,9.62,3.27,19.64,1.05,0,0,0,0.36,13.27
Cupressus_cashmeriana,21.8,3.3,4.5,0,2.3,3.5,0.5,2,7.6
Cupressus_chengiana,17.6,3.6,11.3,0.7,0,0.9,0.1,0.2,5.3
Cupressus_funebris,0,0,0,0,1,2.7,0,0,0
Cupressus_tonkinensis,23.1,4.4,14.4,0.7,0.8,0.2,0.2,0.7,1.5
Juniperus_convallium,5.58,1.38,5.55,0.16,0.23,0,0.05,0.05,0
Juniperus_indica,9.3,3.3,5.3,0.2,0.1,2.8,0.6,0.2,1.1
Juniperus_komarovii,2.71,1.17,8.81,0.5,0,0,0.03,0,0
Juniperus_recurva,6,2.3,4.7,0.2,0,0.3,0,0,0
Juniperus_przewalskii,5.86,0.53,6.58,0.2,0.14,0,0.04,0.06,0
Juniperus_saltuaria,4.2,1.5,7.6,0.4,0,0.4,0,0.1,3.5
Juniperus_tibetica,6.93,1.85,0,0.19,0.05,0,0.07,0.07,0
Juniperus_macrocarpa,25.3,3.1,0.3,2.9,0.2,0.4,0.6,2.6,3.4
Juniperus_phoenicea,45.5,2.9,0.3,0,3.4,1.9,0,0,0
